内容,所要,予算,場所
"深呼吸を10回する。","1分","0円","室内"
"冷蔵庫の中を1段だけ整える。","5分","0円","室内"
"机の上のいらない紙を3枚捨てる。","2分","0円","室内"
"財布の中身を一度全部出して戻す。","3分","0円","室内"
"今日やらないことを1つ決める。","2分","0円","室内"
"未読メールを1通だけ処理する。","3分","0円","室内"
"カーテンを開けて光を浴びる。","1分","0円","室内"
"白湯をゆっくり飲む。","3分","0円","室内"
"背筋を伸ばして1分座る。","1分","0円","室内"
"スマホを5分触らない。","5分","0円","室内"
"いつもと逆方向に100歩歩く。","3分","0円","屋外"
"空を見上げて雲の形を探す。","2分","0円","屋外"
"コンビニで知らない商品を1つ手に取る。","5分","〜500円","屋外"
"近所の花を1つ見つける。","5分","0円","屋外"
"自販機のラインナップをじっくり見る。","2分","0円","屋外"
"5分だけ遠回りして帰る。","5分","0円","屋外"
"公園のベンチに1分座る。","3分","0円","屋外"
"歩きながら好きな曲を1曲聴く。","4分","0円","屋外"
"100円だけ募金する。","3分","〜100円","屋外"
"貯金箱に10円入れる。","1分","10円","室内"
"使ってないサブスクを確認する。","5分","0円","室内"
"今日の無駄遣いを1つ減らす。","1分","0円","室内"
"冷蔵庫の余り物で何か作る。","10分","0円","室内"
"最近話してない人を1人思い出す。","1分","0円","室内"
"ありがとうを1回多く言う。","1分","0円","屋内/屋外"
"スタンプだけでも誰かに送る。","2分","0円","室内"
"昔の写真を1枚見返す。","2分","0円","室内"
"「元気？」と一言送る。","2分","0円","室内"
"冷蔵庫の中の一番古いものを確認する。","3分","0円","室内"
"今日のラッキーカラーを勝手に決める。","1分","0円","室内"
"3年前の自分を思い出す。","2分","0円","室内"
"未来の自分に一言考える。","3分","0円","室内"
"今日よかったことを1つ書く。","2分","0円","室内"
"「なんとなく」を言語化する。","3分","0円","室内"
"今の気持ちに名前をつける。","2分","0円","室内"
"家の中で一番高いところを見る。","1分","0円","室内"
"左右逆の手で歯磨きをする。","3分","0円","室内"
"エレベーターのボタンをゆっくり押す。","1分","0円","屋内"
"コンビニで一番高いお菓子を値段だけ見る。","3分","0円","屋外"
"知らない単語を1つ調べる。","3分","0円","室内"
"テレビの音を一度消す。","1分","0円","室内"
"机の上を10cmだけ片付ける。","2分","0円","室内"
"知らない店に入る。","10分","〜1000円","屋外"
"普段選ばないメニューを選ぶ。","5分","〜1000円","屋外"
"今日1回だけ断る勇気を出す。","1分","0円","屋内/屋外"
"鏡を見て10秒自分を見る。","1分","0円","室内"
"エスカレーターを使わず階段にする。","3分","0円","屋外"

